id,city,question
f7845786,Cairo,What is the name of the oldest known pyramid in Dahshur?
f7845786,Cairo,Which pyramid in Dahshur has an entrance to the inside?
f7845786,Cairo,What is the distinctive feature of the Bent Pyramid?
f7845786,Cairo,How many pyramids are mentioned to be in the Dahshur area?
f7845786,Cairo,What is the atmosphere around Dahshur Pyramids like compared to Giza?
fca551b1,Cairo,What are the coordinates of Al-Azhar Park?
fca551b1,Cairo,Which famous landmark can you see from Al-Azhar Park?
fca551b1,Cairo,Is Al-Azhar Park a landscaped garden?
fca551b1,Cairo,What is the name of the park that overlooks the Citadel?
fca551b1,Cairo,How many coordinates are provided for Al-Azhar Park?
91c82200,Cairo,What was the purpose of Abdeen Palace in Cairo until 1952?
91c82200,Cairo,How far is Abdeen Palace from Midan El-Tahrir?
91c82200,Cairo,In which direction from Midan El-Tahrir is Abdeen Palace located?
91c82200,Cairo,What are the coordinates of Abdeen Palace?
91c82200,Cairo,When was the information about Abdeen Palace last updated?
a4b7a503,Cairo,What type of market is Khan El Khalily in Cairo?
a4b7a503,Cairo,What coordinates are given for Khan El Khalily?
a4b7a503,Cairo,Are spices available for purchase at Khan El Khalily?
a4b7a503,Cairo,Can visitors find Egyptian handicrafts at Khan El Khalily?
a4b7a503,Cairo,What else besides spices and handicrafts can be bought at Khan El Khalily market?
84d1da2a,Cairo,What is the admission fee for an adult at the Egyptian Museum?
84d1da2a,Cairo,What is the phone number for the Egyptian Museum in Cairo?
84d1da2a,Cairo,When is the Grand Egyptian Museum in Giza scheduled to open?
84d1da2a,Cairo,How much does it cost to use a camera for personal photography within the Egyptian Museum?
84d1da2a,Cairo,Where is the Egyptian Museum located in relation to Tahrir Square?
a889ec32,Cairo,Should I be cautious when drinking from fruit juice stalls in Cairo?
a889ec32,Cairo,Are the food handling procedures in Cairo up to Western standards?
a889ec32,Cairo,What is the potential issue with the water used in fruit juices at some stalls in Cairo?
a889ec32,Cairo,Is tap water in Cairo always safe to consume?
a889ec32,Cairo,Is it necessary to be extra careful with beverages from fruit stalls in Cairo?
58f85369,Cairo,What century was coffee introduced to the Arab and Islamic world?
58f85369,Cairo,Which group of people traditionally avoid visiting an 'ahwa?
58f85369,Cairo,What activities do Egyptian men typically engage in at a traditional coffee house?
58f85369,Cairo,How many coffee houses are estimated to be in Cairo?
58f85369,Cairo,Which areas in Cairo are recommended for experiencing traditional coffee houses?
4b10b5b9,Cairo,Where are the safest ATMs to use in Cairo?
4b10b5b9,Cairo,Which banks in Cairo handle currency exchange?
4b10b5b9,Cairo,Can I use travellers cheques in Cairo?
4b10b5b9,Cairo,Are there Citibank branches in Cairo?
4b10b5b9,Cairo,What are the common places to find ATMs in downtown Cairo?
ebc1f7f3,Cairo,What is the significance of Al-Azhar Mosque in Islamic thought?
ebc1f7f3,Cairo,Which notable institution is housed within Al-Azhar Mosque?
ebc1f7f3,Cairo,Is Al-Azhar Mosque known for its educational heritage?
ebc1f7f3,Cairo,What is the historical importance of the university at Al-Azhar Mosque?
ebc1f7f3,Cairo,Can you confirm if the university at Al-Azhar Mosque is the oldest in the world?
4d0536ac,Cairo,What are some easy day trip options from Cairo?
4d0536ac,Cairo,Are the pyramids of Saqqara accessible from Cairo?
4d0536ac,Cairo,Can I visit Memphis in a single day from Cairo?
4d0536ac,Cairo,Which historic sites can I see on a day trip from Cairo?
4d0536ac,Cairo,Are Saqqara and Memphis suitable for a short excursion from Cairo?
