id,question
0,Can I enter the Red Pyramid?
0,What is the main advantage of visiting Dahshur Pyramids over the Pyramids of Giza?
0,How many pyramids can be visited in the Dahshur area?
0,Is it possible to walk around the area to see the Black Pyramid?
0,Which pyramid is noted for its peculiar shape in Dahshur?
1,What's an alternative site to visit instead of the Giza Pyramids?
1,Which is the oldest known pyramid mentioned?
1,What makes the Dahshur Pyramids worth visiting?
1,What activities can be done around the Bent Pyramid?
1,Is it possible to go inside any of the pyramids at Dahshur?
2,What is the name of the landscaped garden in Cairo?
2,Which attraction in Cairo overlooks the Citadel?
2,What are the coordinates of Al-Azhar Park?
2,Is Al-Azhar Park located in the 'See' section of Cairo's attractions?
2,Does the text mention any specific subsection for Al-Azhar Park?
3,What was the purpose of Abdeen Palace before 1952?
3,How far is Abdeen Palace from Midan El-Tahrir?
3,In which direction from Midan El-Tahrir is Abdeen Palace located?
3,When was the information about Abdeen Palace last updated?
3,What are the coordinates of Abdeen Palace?
4,What kinds of items can visitors find at Khan El Khalily in Cairo?
4,Is Khan El Khalily a marketplace?
4,Can I buy spices in Cairo's souk area?
4,Are there shops selling gold in Khan El Khalily?
4,Where can I find Egyptian handicrafts in Cairo?
5,What is the entrance fee for an adult at the Egyptian Museum?
5,When is the Grand Egyptian Museum in Giza expected to open?
5,How much does it cost to use a camera for personal photography inside the Egyptian Museum?
5,What is the phone number for the Egyptian Museum?
5,How far is the Egyptian Museum from Tahrir Square?
6,Should I be cautious when buying drinks from fruit juice stalls in Cairo?
6,Are the food handling procedures at fruit stalls in Cairo up to Western standards?
6,What is the risk associated with the tap water used by some vendors in Cairo's fruit juice stalls?
6,Is it safe to assume that all fruit juices in Cairo are made with clean water?
6,Why is it important to be extra careful when consuming beverages from fruit stalls in Cairo?
7,What was the initial response of the Islamic clergy to coffee in the 1600s?
7,Why do some pious followers of Islam still avoid visiting an 'ahwa?
7,What activities can one typically engage in at a traditional coffee house in Cairo?
7,Approximately how many coffee houses are there in Cairo?
7,Which areas in Cairo are recommended for experiencing traditional coffee houses?
8,Where are ATMs located in Cairo?
8,Which ATMs are safer to use in downtown Cairo?
8,What are the options for exchanging currency in Cairo?
8,Can I use travellers cheques in Cairo banks?
8,Are there any Citibank branches available in Cairo?
9,What is the name of the significant mosque in Cairo?
9,Which mosque in Cairo is considered a pillar of Islamic thought?
9,Is Al-Azhar Mosque located in Cairo?
9,Which famous university is housed within Al-Azhar Mosque?
9,Is the oldest university in the world found in Cairo's Al-Azhar Mosque?
10,What famous structures can I visit near Saqqara and Memphis?
10,Is it possible to travel to Saqqara and Memphis from Cairo within a single day?
10,Are the pyramids the main attraction for visiting Saqqara and Memphis?
10,How far are Saqqara and Memphis from Cairo for a day trip?
10,Can you confirm if the pyramids at Saqqara and Memphis are worth the trip out of the city?
11,What should I do if my taxi driver in Cairo is driving too fast?
11,Is it common for taxi drivers in Cairo to drive erratically?
11,How can I ensure my safety when traveling by taxi in Cairo?
11,What are my options if I feel unsafe in a taxi in Cairo?
11,Should I continue my journey if my taxi driver in Cairo is making me feel unsafe?
12,What number should I dial for an ambulance in Cairo?
12,Is 123 the correct number to reach emergency medical services in Cairo?
12,"In Cairo, which number is used to contact an ambulance?"
12,"If I need urgent medical help in Cairo, what number should I call?"
12,Can I use 123 to call for an ambulance in Cairo?
13,Is it safe to wear Al Ahly's jersey in Cairo?
13,Should I avoid wearing Zamalek's jersey in public?
13,Have there been incidents involving Al Ahly and Zamalek supporters?
13,What kind of incidents have happened between Al Ahly and Zamalek fans?
13,Is it necessary to be cautious about football club attire in Cairo?
14,What kind of dining options can I find in Cairo that are budget-friendly?
14,Are there any specific areas in Cairo known for affordable eating?
